row_id,temperature_C,CO2_loading,observed_CO2_pressure_kPa,source_key,paper,raw_pred_CO2_pressure_kPa,raw_log10_model_over_data,bubble_total_pressure_kPa,bubble_fugacity_residual_norm,chemical_charge_residual,chemical_max_reaction_residual,penalty_residual_count,model_x_CO2,model_x_MEA,model_x_H2O,model_x_MEAH+,model_x_MEACOO-,model_x_HCO3-,model_x_CO3^2-,model_x_H3O+,model_x_OH-,y_CO2,y_H2O,y_MEA,solver_returned,accepted,rejection_reason,message
vle_0052,40.0,0.0888,0.00147,Jou1995,Jou,7.200351624792797e-05,-1.3099636292921253,6.3328125,0.008539150709196974,-7.1448520860026114e-12,5.2790682047998416e-08,0,3.551382289075683e-10,0.09228324261843585,0.8874365546118357,0.010268258684752798,0.009694667898217765,1.647665399893771e-05,0.00025631496261323825,2.409242478280491e-13,4.4484214766612415e-05,1.1369911275271133e-05,0.9977509699209554,0.002237660167769497,True,False,state_evaluation_failed,converged
vle_0001,40.0,0.102,0.0016,Aronu2011,Aronu,0.00010521456731267248,-1.1820441091354792,6.378202324850335,6.745482359349353e-07,-6.344873201326057e-12,5.24109715627219e-08,0,5.020498968454421e-10,0.08933037827600648,0.8874302047199746,0.011752860723512998,0.011162930178022046,1.9873642074216218e-05,0.0002663049520170731,2.713286033918152e-13,3.744700607143347e-05,1.649595951240718e-05,0.9977874460175563,0.002196058022931327,True,True,,converged
vle_0018,40.0,0.153,0.0057,Hilliard2008,Hilliard,0.00035966870758552256,-1.1999722013238427,6.342498443230434,2.8607712199146818e-08,-8.055452772247297e-11,5.9511553018865015e-08,0,1.5621444558184688e-09,0.07791438253773614,0.8874062443083615,0.017484743915265603,0.0168470425847802,3.650339056710777e-05,0.00029011632148577093,3.8720617550688065e-13,2.0965379271903373e-05,5.6707732891824246e-05,0.9979281650327948,0.0020151272343134296,True,True,,converged
vle_0019,40.0,0.163,0.00664,Hilliard2008,Hilliard,0.0004472705406384457,-1.1715977849500938,6.335383361535964,6.942435115675494e-08,-1.6400774809018125e-10,9.041105286655693e-08,0,1.907411799061705e-09,0.07567562037373442,0.8874013920490837,0.018607969729027802,0.017962578920319293,4.05907606754702e-05,0.00029295395611485123,4.1046730665803413e-13,1.8892303222255357e-05,7.0598812276138e-05,0.9979534534302831,0.001975947757440683,True,True,,converged
vle_0020,40.0,0.17,0.00721,Hilliard2008,Hilliard,0.0005195506158385942,-1.1423074007789067,6.330376587840884,2.0880666254385893e-07,-5.572034304972078e-11,7.126799417278562e-08,0,2.1875240995472253e-09,0.07410854414297749,0.8873978945935768,0.01939412827616739,0.018743496532035126,4.3652466265585794e-05,0.00029469753405059196,4.270162517961098e-13,1.7584266976100982e-05,8.207262374193104e-05,0.9979701256742582,0.0019478017019997722,True,True,,converged
vle_0021,40.0,0.191,0.00995,Hilliard2008,Hilliard,0.0008058303885326702,-1.0915794397792402,6.315196310962937,1.6579397765781323e-07,-1.6189157477490578e-10,8.986869914906492e-08,0,3.2657247436218345e-09,0.06940787174801819,0.8873866683256266,0.021752203384874408,0.021086093718183943,5.3970987998374736e-05,0.0002989502754376939,4.78499420564571e-13,1.4238293657573606e-05,0.00012760179555048505,0.9980125870364702,0.0018598111679793145,True,True,,converged
vle_0022,40.0,0.194,0.00985,Hilliard2008,Hilliard,0.0008571135051859095,-1.0603978923412927,6.3130092117911865,2.5707434847532795e-08,-1.6106122840381745e-10,9.036194015266119e-08,0,3.4547080110200146e-09,0.06873644152060748,0.8873849522762779,0.022089028669173675,0.021420698638483542,5.5599901078071446e-05,0.00029945475548147046,4.861340772701824e-13,1.3820783703712279e-05,0.00013576940511745607,0.9980174236245999,0.001846806970282851,True,True,,converged
vle_0053,40.0,0.203,0.00896,Jou1995,Jou,0.0010302402287339074,-0.9393695054920165,6.306419107604058,7.127267522832881e-07,-1.5806483320506925e-10,8.872654255753787e-08,0,4.085385659831342e-09,0.06672233665293953,0.8873795895342869,0.023099456340646453,0.022424375759493947,6.074929327102725e-05,0.00030084311659055326,5.09550607686028e-13,1.2645216876417043e-05,0.0001633637427445442,0.9980294911743832,0.0018071450828722286,True,True,,converged
vle_0002,40.0,0.206,0.0123,Aronu2011,Aronu,0.0010950615230612636,-1.0504665919204008,6.3042017096258345,6.740491440559992e-07,-1.0814650866521861e-10,6.085203096972691e-08,0,4.318946030864259e-09,0.06605103685602184,0.8873777200253649,0.02343625514041409,0.022758876709162518,6.255813567717626e-05,0.0003012715928432581,5.175452883710373e-13,1.227722105257596e-05,0.00017370343994374787,0.9980325881556187,0.0017937084044376429,True,True,,converged
vle_0023,40.0,0.232,0.0146,Hilliard2008,Hilliard,0.0018510157325304262,-0.8969427457716117,6.284845167964233,8.441178067641886e-07,-7.901376858266589e-11,6.103055838480032e-08,0,6.966351618183613e-09,0.06023492710458366,0.8873595440385844,0.02635490324352398,0.025656338053360907,8.048137581056271e-05,0.0003042846788222067,5.916865213916138e-13,9.514538371156625e-06,0.0002945204986060144,0.9980327285556159,0.0016727509457781543,True,True,,converged
