model_id,selection,row_count,log10_rmse,log10_bias,aard_percent,max_abs_log10_residual
M2,training,24,0.29572091996258876,0.02269686871590988,66.02960590975862,0.5147524836427243
M2,validation,20,0.40942598562733334,-0.13760621178140767,71.11326685547463,0.8866265662845314
M2,all,44,0.3519882957191108,-0.05016816787377991,68.3403608850841,0.8866265662845314
M4,training,24,0.2771340091498629,-0.054332040396408654,46.98665589720821,0.5300668701161795
M4,validation,20,0.4528351323231362,-0.25401794822319224,61.24344276696168,0.9036732341075425
M4,all,44,0.3675617251188035,-0.14509836213585572,53.467013565277966,0.9036732341075425
M2,validation:Hilliard2008:w=0.17,6,0.40453948185764604,-0.3259671810316479,46.46213161888922,0.7929616624246458
M2,validation:Hilliard2008:w=0.4,6,0.4624118685359214,-0.05304955050336824,91.40635771873173,0.8866265662845314
M2,validation:Jou1995:w=0.3,8,0.3687362171781913,-0.05975298080225703,74.3818001354709,0.6571279539585754
M4,validation:Hilliard2008:w=0.17,6,0.4361251687901055,-0.36748584532108586,51.35886929467045,0.8004278945786076
M4,validation:Hilliard2008:w=0.4,6,0.4771127660872011,-0.18025903656470388,69.65204147183655,0.9036732341075425
M4,validation:Jou1995:w=0.3,8,0.4463942504710349,-0.22423620914363823,62.35042384252394,0.7984107453196695
