model_id,selection,row_count,log10_rmse,log10_bias,aard_percent,max_abs_log10_residual
M0,all-30wt,32,0.41149192134583706,0.2528401009901827,145.2715827133479,0.7119164260284558
M0,Hilliard-30wt,24,0.408641830243686,0.2720847577425954,146.66706001094775,0.655085790935103
M0,Jou-30wt,8,0.4199261471459304,0.19510613073294494,141.08515082054848,0.7119164260284558
M1,all-30wt,32,0.31723806465921134,0.12252395331824237,87.77870590903902,0.554285943793599
M1,Hilliard-30wt,24,0.3068883540924108,0.13085284043845202,85.56019331303065,0.4914358541081823
M1,Jou-30wt,8,0.3464369683539,0.09753729195761343,94.43424369706405,0.554285943793599
M2,all-30wt,32,0.315562587049916,0.00208440633813684,68.11765446661624,0.6571279538900827
M2,Hilliard-30wt,24,0.29572091997584526,0.022696868715481502,66.02960591031682,0.5147524837098576
M2,Jou-30wt,8,0.36873621716406235,-0.059752980793897174,74.38180013551448,0.6571279538900827
M3,all-30wt,32,0.42077526415197736,-0.287195083436218,49.56979272780737,0.7954730009430362
M3,Hilliard-30wt,24,0.4364575555449609,-0.3323171762180018,50.7670690652794,0.7532353327854155
M3,Jou-30wt,8,0.36975897326747503,-0.1518288050908667,45.97796371539132,0.7954730009430362
M4A,all-30wt,32,0.3277489915767367,-0.09680808200509694,50.82759807916302,0.7984107519246565
M4A,Hilliard-30wt,24,0.27713400912665725,-0.05433203913087509,46.9866560906672,0.5300668684534793
M4A,Jou-30wt,8,0.44639425273454064,-0.22423621062776253,62.350424044650424,0.7984107519246565
M4B,all-30wt,32,0.30645855971573954,-0.07347476027240979,50.94156341556666,0.7010380904631737
M4B,Hilliard-30wt,24,0.29412663439369086,-0.07323419937032218,48.17905215194071,0.5856333020097142
M4B,Jou-30wt,8,0.3407872710546893,-0.07419644297867256,59.229097206444536,0.7010380904631737
M5Q,all-30wt,32,0.7029452520081193,0.6285123036958198,433.4960788410866,1.074967987268903
M5Q,Hilliard-30wt,24,0.7127960944878048,0.6494035281586182,443.22584627514294,1.01873895515357
M5Q,Jou-30wt,8,0.6725275402032476,0.5658386303074243,404.3067765389177,1.074967987268903
M5,all-30wt,32,2.745550794928189,2.723976733394565,68891.59803208555,3.1859809101821206
M5,Hilliard-30wt,24,2.7751315823737843,2.7571213403052552,71329.41165271329,3.147117482232005
M5,Jou-30wt,8,2.654831590074591,2.624542912662494,61578.15717020229,3.1859809101821206
M2,untouched-17-and-40wt,12,0.43444040362589625,-0.18950836580252764,68.93424466966168,0.88662656625715
M2,all-available,44,0.35198829573425794,-0.05016816788204439,68.34036088562864,0.88662656625715
M4A,untouched-17-and-40wt,12,0.45707863376787683,-0.27387244031584584,60.50545553096743,0.9036732326188587
M4A,all-available,44,0.367561725697859,-0.14509836154439212,53.467013747836944,0.9036732326188587
M4B,untouched-17-and-40wt,12,0.44630234526535945,-0.26317593755037366,56.244709276533655,0.9590401469989808
M4B,all-available,44,0.35018075082765787,-0.12521144498458173,52.387875923103124,0.9590401469989808
M5Q,untouched-17-and-40wt,12,0.5861639355915601,0.4370115793551466,311.3549772274497,1.0402392871661381
M5Q,all-available,44,0.6731081702027493,0.5762848334210907,400.1848693100947,1.074967987268903
M5,untouched-17-and-40wt,12,2.5653277795986345,2.5309649713793974,52516.39377638461,3.218021801297206
M5,all-available,44,2.6975934256394987,2.6713371619358828,64425.63323507619,3.218021801297206
