model_id,observation_id,source_key,mea_mass_fraction,temperature_k,temperature_c,loading_mol_co2_per_mol_mea,state_pressure_pa,observed_pco2_pa,predicted_pco2_pa,log10_pressure_residual,carbamate_target_mole_fraction,predicted_carbamate_mole_fraction,log10_carbamate_residual,carbamate_interpolation_lower_row,carbamate_interpolation_upper_row,ln_k4,a,b_k,c,d_per_k,split,role,group_id,measurement_origin,certification,reaction_affinity_inf_norm,kkt_stationarity_inf_norm,pressure_relative_residual,packing_fraction,minimum_amount_mol,model_fingerprint,dlog10_pco2_dlnk_R1,dlog10_pco2_dlnk_R2,dlog10_pco2_dlnk_R3,dlog10_pco2_dlnk_R4,dlog10_pco2_dlnk_R5,dlog10_meacoo_dlnk_R1,dlog10_meacoo_dlnk_R2,dlog10_meacoo_dlnk_R3,dlog10_meacoo_dlnk_R4,dlog10_meacoo_dlnk_R5
M5_literature_R4,vle_obs_0119,Hilliard2008,0.3,313.15,40.0,0.153,6612.28,5.7,5017.540400529172,2.944616022379159,0.017795,0.015696731567105143,-0.054488760958870876,cheq_canon_00166,cheq_canon_00170,-2.7836958326680508,2.151,-1545.3,0.0,0.0,training,active_training,vle|Hilliard2008|w=0.3|T=40,calibration_derived_partial_pressure,LOCAL_EQUILIBRIUM,9.947598300641403e-14,8.526512829121202e-14,2.838511523514811e-10,0.47592467749475714,9.634557516306292e-11,sha256:f8addf9b50d6ea512435da5d916a903a56e0027567b9373b93c35185109753d9,5.924682966451655e-05,0.394179686624696,-0.002238057073000732,0.4364656450484005,-0.43428683556001596,4.949473377515539e-07,-0.0372019796626834,-0.01032873989713059,0.010325729137201594,2.515806981005265e-06
M5_literature_R4,vle_obs_0120,Hilliard2008,0.3,313.15,40.0,0.163,6703.0,6.64,6070.927715107432,2.961086982508908,0.0190075,0.016713071844002027,-0.05586871908645439,cheq_canon_00166,cheq_canon_00170,-2.7836958326680508,2.151,-1545.3,0.0,0.0,training,active_training,vle|Hilliard2008|w=0.3|T=40,calibration_derived_partial_pressure,LOCAL_EQUILIBRIUM,1.7053025658242404e-13,3.410605131648481e-13,1.0629541240771475e-12,0.4760023550490043,9.988623134954895e-11,sha256:f8addf9b50d6ea512435da5d916a903a56e0027567b9373b93c35185109753d9,5.248783629951958e-05,0.3924425530321684,-0.002002629662101185,0.43623570533668493,-0.43428555582813994,3.71726792312105e-07,-0.037400894790478735,-0.009813723012279897,0.009810509880446064,2.841399901053121e-06
M5_literature_R4,vle_obs_0121,Hilliard2008,0.3,313.15,40.0,0.17,6663.57,7.21,7020.344309428651,2.988423147697843,0.019856250000000002,0.017421727101743313,-0.056806025611147185,cheq_canon_00166,cheq_canon_00170,-2.7836958326680508,2.151,-1545.3,0.0,0.0,training,active_training,vle|Hilliard2008|w=0.3|T=40,calibration_derived_partial_pressure,LOCAL_EQUILIBRIUM,1.1368683772161603e-13,2.2737367544323206e-13,1.1938597998222934e-10,0.47605641743415067,1.022744982293543e-10,sha256:f8addf9b50d6ea512435da5d916a903a56e0027567b9373b93c35185109753d9,4.840039480313862e-05,0.39111885912213035,-0.0018568282023068148,0.4360928304247835,-0.43428439528980783,3.0046922851152123e-07,-0.0375861308394762,-0.009481074060462545,0.009477635811143477,3.1377752575451015e-06
M5_literature_R4,vle_obs_0122,Hilliard2008,0.3,313.15,40.0,0.191,6626.18,9.950000000000001,10572.115030293904,3.0263387990970454,0.022402500000000002,0.019532133690162812,-0.05954679778998397,cheq_canon_00166,cheq_canon_00170,-2.7836958326680508,2.151,-1545.3,0.0,0.0,training,active_training,vle|Hilliard2008|w=0.3|T=40,calibration_derived_partial_pressure,LOCAL_EQUILIBRIUM,5.684341886080802e-14,4.760636329592671e-13,6.128737942113487e-11,0.47621678728898986,1.0908467232546662e-10,sha256:f8addf9b50d6ea512435da5d916a903a56e0027567b9373b93c35185109753d9,3.85609766340167e-05,0.3865732237429142,-0.0014958596139535982,0.4357374820074255,-0.43428018132729557,1.3960073936328765e-07,-0.03835626205494584,-0.008598946973528605,0.008594655731313348,4.1516374942079416e-06
M5_literature_R4,vle_obs_0123,Hilliard2008,0.3,313.15,40.0,0.194,6726.3,9.85,11016.592551656784,3.048611056863257,0.022766250000000002,0.01983152389168939,-0.059935413106237206,cheq_canon_00166,cheq_canon_00170,-2.7836958326680508,2.151,-1545.3,0.0,0.0,training,active_training,vle|Hilliard2008|w=0.3|T=40,calibration_derived_partial_pressure,LOCAL_EQUILIBRIUM,5.371198213442017e-14,1.7763568394002505e-13,8.518066980317329e-11,0.4762394477226897,1.1002301247124974e-10,sha256:f8addf9b50d6ea512435da5d916a903a56e0027567b9373b93c35185109753d9,3.739355491916285e-05,0.385848359929497,-0.0014521694069458133,0.4356944697470055,-0.43427969034226516,1.215643118652366e-07,-0.03849163456604155,-0.008485299557960789,0.008480927067118837,4.250922664470878e-06
M5_literature_R4,vle_obs_0124,Hilliard2008,0.3,313.15,40.0,0.232,6650.23,14.6,22171.617088802876,3.181444513790688,0.026712903225806453,0.023568677965872708,-0.05438586841210085,cheq_canon_00170,cheq_canon_00174,-2.7836958326680508,2.151,-1545.3,0.0,0.0,training,active_training,vle|Hilliard2008|w=0.3|T=40,calibration_derived_partial_pressure,LOCAL_EQUILIBRIUM,5.684341886080802e-14,2.7000623958883807e-13,3.1070957063213355e-11,0.4765189553410364,1.2153813348857987e-10,sha256:f8addf9b50d6ea512435da5d916a903a56e0027567b9373b93c35185109753d9,2.6136159902989672e-05,0.3747145822075026,-0.0010186930410327477,0.4352594212164717,-0.4342668703749552,-4.154883079077582e-08,-0.04074353073656961,-0.007254167012872303,0.007247252063182034,6.956496130119331e-06
M5_literature_R4,vle_obs_0125,Hilliard2008,0.3,313.15,40.0,0.246,6674.63,19.099999999999998,28237.624555993738,3.16979479235529,0.02837272727272727,0.02491504853564924,-0.05643934597377832,cheq_canon_00174,cheq_canon_00178,-2.7836958326680508,2.151,-1545.3,0.0,0.0,training,active_training,vle|Hilliard2008|w=0.3|T=40,calibration_derived_partial_pressure,LOCAL_EQUILIBRIUM,1.5631940186722204e-13,1.7763568394002505e-13,3.17167580470339e-11,0.4766175744335876,1.2576473849913414e-10,sha256:f8addf9b50d6ea512435da5d916a903a56e0027567b9373b93c35185109753d9,2.3187851638795106e-05,0.36952968631709376,-0.0008983167099074761,0.43513512943960103,-0.43425999907142904,-8.14733633950814e-08,-0.04182619807896978,-0.006879508239637975,0.006871334849343583,8.254861865385698e-06
M5_literature_R4,vle_obs_0127,Hilliard2008,0.3,313.15,40.0,0.272,6677.51,22.4,44248.685788042676,3.2956523580900337,0.03168181818181818,0.027360159685379297,-0.06369146949538938,cheq_canon_00174,cheq_canon_00178,-2.7836958326680508,2.151,-1545.3,0.0,0.0,training,active_training,vle|Hilliard2008|w=0.3|T=40,calibration_derived_partial_pressure,LOCAL_EQUILIBRIUM,2.842170943040401e-14,3.979039320256561e-13,4.551893285558728e-13,0.47679222011884725,1.3392477622733105e-10,sha256:f8addf9b50d6ea512435da5d916a903a56e0027567b9373b93c35185109753d9,1.8822277070285054e-05,0.35788998902219754,-0.0007026221382488983,0.4349256130353751,-0.43424181521700683,-1.3983779083307095e-07,-0.04421612674232697,-0.006267954560692688,0.00625669650894638,1.13978890600554e-05
M5_literature_R4,vle_obs_0128,Hilliard2008,0.3,313.15,40.0,0.326,6653.08,48.5,112270.74988964952,3.3645248848349207,0.03773809523809524,0.03212464747391848,-0.06994160560552949,cheq_canon_00178,cheq_canon_00182,-2.7836958326680508,2.151,-1545.3,0.0,0.0,training,active_training,vle|Hilliard2008|w=0.3|T=40,calibration_derived_partial_pressure,LOCAL_EQUILIBRIUM,4.6412457148092353e-14,1.4210854715202004e-13,1.0097320339671901e-10,0.4771031005011757,1.541118852185755e-10,sha256:f8addf9b50d6ea512435da5d916a903a56e0027567b9373b93c35185109753d9,1.2736034449289944e-05,0.3217909287478449,-0.00028893269998775395,0.4344389339827614,-0.4341627367843159,-2.2728732584082253e-07,-0.050898703373897285,-0.005251249616913552,0.0052291508959925485,2.2326012335267e-05
M5_literature_R4,vle_obs_0129,Hilliard2008,0.3,313.15,40.0,0.348,6670.43,66.19999999999999,164129.65825364547,3.3943290757820983,0.04023636363636363,0.0338952984453692,-0.07447926224283014,cheq_canon_00182,cheq_canon_00186,-2.7836958326680508,2.151,-1545.3,0.0,0.0,training,active_training,vle|Hilliard2008|w=0.3|T=40,calibration_derived_partial_pressure,LOCAL_EQUILIBRIUM,5.684341886080802e-14,1.1368683772161603e-13,6.074160341720479e-11,0.4771999573052464,1.6459649858108113e-10,sha256:f8addf9b50d6ea512435da5d916a903a56e0027567b9373b93c35185109753d9,1.0976819453389906e-05,0.3003589575278909,-6.551532649723413e-05,0.43415493422571666,-0.43410038861324546,-2.5718689081475753e-07,-0.05433410359149073,-0.00490534892148284,0.004876434747734328,2.9171367987387275e-05
