temperature_C,CO2_loading,observed_CO2_pressure_kPa,model_CO2_pressure_kPa,solver_success,source,plot_role
40.0,0.0888,0.00147,6.889803308215499e-05,True,Jou,solver_success_pressure_row
40.0,0.102,0.0016,0.0001001507690991,True,Aronu,solver_success_pressure_row
40.0,0.153,0.0057,0.0003338290622848,True,Hilliard,solver_success_pressure_row
40.0,0.163,0.00664,0.0004130374642639,True,Hilliard,solver_success_pressure_row
40.0,0.17,0.00721,0.0004780806130141,True,Hilliard,solver_success_pressure_row
40.0,0.191,0.00995,0.0007335214104636,True,Hilliard,solver_success_pressure_row
40.0,0.194,0.00985,0.0007789846943227,True,Hilliard,solver_success_pressure_row
40.0,0.203,0.00896,0.0009319395159198,True,Jou,solver_success_pressure_row
40.0,0.206,0.0123,0.0009890119999065,True,Aronu,solver_success_pressure_row
40.0,0.232,0.0146,0.0016488619557697,True,Hilliard,solver_success_pressure_row
40.0,0.242,0.021,0.0020057302155767,True,Idris,solver_success_pressure_row
40.0,0.246,0.0191,0.002169425512055,True,Hilliard,solver_success_pressure_row
40.0,0.25,0.0246,0.0023467101126004,True,Aronu,solver_success_pressure_row
40.0,0.269,0.0231,0.0034158314844666,True,Hilliard,solver_success_pressure_row
40.0,0.272,0.0224,0.0036262003651011,True,Hilliard,solver_success_pressure_row
40.0,0.321,0.038,0.0099668084977133,True,Idris,solver_success_pressure_row
40.0,0.326,0.0485,0.0111082861613316,True,Hilliard,solver_success_pressure_row
40.0,0.33,0.043,0.0121261527207837,True,Idris,solver_success_pressure_row
40.0,0.337,0.0603,0.0141681601153891,True,Aronu,solver_success_pressure_row
40.0,0.345,0.05,0.0169895227432648,True,Idris,solver_success_pressure_row
40.0,0.348,0.0662,0.0182072908001494,True,Hilliard,solver_success_pressure_row
40.0,0.35,0.0721,0.0190741073539124,True,Hilliard,solver_success_pressure_row
40.0,0.352,0.064,0.0199883147061169,True,Idris,solver_success_pressure_row
40.0,0.353,0.0851,0.0204640007456113,True,Aronu,solver_success_pressure_row
40.0,0.355,0.097,0.0214547846785312,True,Idris,solver_success_pressure_row
40.0,0.36,0.0966,0.0241814978161559,True,Hilliard,solver_success_pressure_row
40.0,0.365,0.0677,0.0273139166242555,True,Jou,solver_success_pressure_row
40.0,0.375,0.107,0.035101893136934,True,Idris,solver_success_pressure_row
40.0,0.377,0.123,0.0369546065020175,True,Idris,solver_success_pressure_row
40.0,0.382,0.131,0.0421096330962441,True,Hilliard,solver_success_pressure_row
40.0,0.386,0.12,0.0468492501907971,True,Hilliard,solver_success_pressure_row
40.0,0.389,0.113,0.05082000406291,True,Hilliard,solver_success_pressure_row
40.0,0.4,0.128,0.0692425668142068,True,Hilliard,solver_success_pressure_row
40.0,0.401,0.1835,0.0712836104710411,True,Aronu,solver_success_pressure_row
40.0,0.417,0.2928,0.1163291909469343,True,Aronu,solver_success_pressure_row
40.0,0.421,0.3188,0.132578058065961,True,Aronu,solver_success_pressure_row
40.0,0.433,0.3809,0.2010896911700425,True,Aronu,solver_success_pressure_row
40.0,0.436,0.445,0.2246031312756074,True,Idris,solver_success_pressure_row
40.0,0.447,0.5702,0.345819595770694,True,Aronu,solver_success_pressure_row
40.0,0.46,0.813,0.613344478150647,True,Idris,solver_success_pressure_row
40.0,0.464,1.0662,0.7434915669743781,True,Aronu,solver_success_pressure_row
40.0,0.464,0.75,0.7434915710197032,True,Hilliard,solver_success_pressure_row
40.0,0.466,0.574,0.821129168600415,True,Hilliard,solver_success_pressure_row
40.0,0.4735,0.604,1.214746837597817,True,Jou,solver_success_pressure_row
40.0,0.476,1.8326,1.3935363514206496,True,Aronu,solver_success_pressure_row
40.0,0.477,1.8278,1.4735902730887342,True,Aronu,solver_success_pressure_row
40.0,0.481,0.883,1.8519714524661817,True,Hilliard,solver_success_pressure_row
40.0,0.485,2.3193,2.3451167995250475,True,Aronu,solver_success_pressure_row
40.0,0.489,2.8577,2.988089853715672,True,Aronu,solver_success_pressure_row
40.0,0.491,1.1,3.3788577204150645,True,Hilliard,solver_success_pressure_row
40.0,0.501,1.87,6.280206918095779,True,Hilliard,solver_success_pressure_row
40.0,0.513,2.57,12.79361898862031,True,Jou,solver_success_pressure_row
40.0,0.516,8.5583,15.103030856228314,True,Aronu,solver_success_pressure_row
40.0,0.518,3.03,16.815552596768327,True,Hilliard,solver_success_pressure_row
40.0,0.524,11.812,22.837592428362967,True,Aronu,solver_success_pressure_row
40.0,0.557,8.09,83.27961807728646,True,Jou,solver_success_pressure_row
40.0,0.591,28.3,199.9734551512647,True,Hilliard,solver_success_pressure_row
40.0,0.609,36.1,285.4812306950874,True,Jou,solver_success_pressure_row
40.0,0.642,103.0,485.25146276496304,True,Jou,solver_success_pressure_row
60.0,0.053,0.0045,0.0002137690789265,True,Aronu,solver_success_pressure_row
60.0,0.0564,0.00428,0.000245651589369,True,Jou,solver_success_pressure_row
60.0,0.105,0.0154,0.0011326896075446,True,Aronu,solver_success_pressure_row
60.0,0.114,0.0194,0.0014228051346515,True,Hilliard,solver_success_pressure_row
